Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l2_0/456	1.285678	0.001297	0.000104	0.211268	0.174643	0.999248	97266.539886	95878.434324	43743.360541	100823.993983
search_run/l2_1/456	1.285678	0.001297	0.000104	0.211268	0.174643	0.999248	97266.539886	95878.434324	43743.360541	100823.993983
search_run/l2_2/456	1.285678	0.001297	0.000104	0.211268	0.174643	0.999248	97266.539886	95878.434324	43743.360541	100823.993983
search_run/l2_3/456	1.273264	0.000679	0.000083	0.212466	0.169938	0.996296	98100.709499	96766.418835	43549.489544	101488.271605
search_run/l2_4/456	1.273264	0.000679	0.000083	0.212466	0.169938	0.996296	98100.709499	96766.418835	43549.489544	101488.271605
search_run/l2_5/456	1.273264	0.000679	0.000083	0.212466	0.169938	0.996296	98100.709499	96766.418835	43549.489544	101488.271605
search_run/l2_6/456	1.266874	0.000360	0.000062	0.213980	0.163932	0.986315	105801.004637	104063.429138	44699.895702	107975.562072
search_run/l2_7/456	1.266874	0.000360	0.000062	0.213980	0.163932	0.986315	105801.004637	104063.429138	44699.895702	107975.562072
search_run/l2_8/456	1.266874	0.000360	0.000062	0.213980	0.163932	0.986315	105801.004637	104063.429138	44699.895702	107975.562072
search_run/l2_9/456	1.293743	0.003603	0.000106	0.072724	0.058364	0.976471	97171.454309	96163.780120	32399.873755	99398.897059
search_run/l2_10/456	1.293743	0.003603	0.000106	0.072724	0.058364	0.976471	97171.454309	96163.780120	32399.873755	99398.897059
search_run/l2_11/456	1.293743	0.003603	0.000106	0.072724	0.058364	0.976471	97171.454309	96163.780120	32399.873755	99398.897059
search_run/l2_12/456	1.276868	0.001844	0.000087	0.074994	0.058003	0.955003	98202.404415	96375.697458	32479.932268	97988.158674
search_run/l2_13/456	1.276868	0.001844	0.000087	0.074994	0.058003	0.955003	98202.404415	96375.697458	32479.932268	97988.158674
search_run/l2_14/456	1.276868	0.001844	0.000087	0.074994	0.058003	0.955003	98202.404415	96375.697458	32479.932268	97988.158674
search_run/l2_15/456	1.268929	0.000959	0.000067	0.077320	0.056966	0.915684	106149.536321	102658.415842	33100.251246	100986.400725
search_run/l2_16/456	1.268929	0.000959	0.000067	0.077320	0.056966	0.915684	106149.536321	102658.415842	33100.251246	100986.400725
search_run/l2_17/456	1.268929	0.000959	0.000067	0.077320	0.056966	0.915684	106149.536321	102658.415842	33100.251246	100986.400725
search_run/l2_18/456	1.296602	0.004348	0.000112	0.059815	0.047898	0.927425	97287.872724	95832.204665	31318.777869	95412.421493
search_run/l2_19/456	1.296601	0.004348	0.000112	0.059773	0.047884	0.925331	97338.504654	95856.334842	31321.087476	95278.436846
search_run/l2_20/456	1.296601	0.004348	0.000112	0.059773	0.047884	0.925331	97338.504654	95856.334842	31321.087476	95278.436846
search_run/l2_21/456	1.278165	0.002214	0.000095	0.061984	0.047826	0.871698	98567.599527	97211.502783	31405.936970	92437.735849
search_run/l2_22/456	1.278166	0.002214	0.000095	0.061946	0.047826	0.869542	98632.045723	97229.386237	31410.391929	92288.948787
search_run/l2_23/456	1.278165	0.002214	0.000095	0.061937	0.047826	0.869003	98632.045723	97225.186104	31410.391929	92244.204852
