Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1d_0/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1d_1/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1d_2/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1d_3/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1d_4/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1d_5/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1d_6/470	1.865872	0.030867	0.000088	0.999990	0.999999	0.986014	104891.172431	103836.879433	106281.792916	107694.638695
search_run/l1d_7/470	1.865872	0.030867	0.000088	0.999990	0.999999	0.986014	104891.172431	103836.879433	106281.792916	107694.638695
search_run/l1d_8/470	1.865872	0.030867	0.000088	0.999990	0.999999	0.986014	104891.172431	103836.879433	106281.792916	107694.638695
search_run/l1d_9/470	3.645466	0.123459	0.000070	0.999997	0.999999	0.992843	97275.578054	96617.919670	97170.305465	101079.754601
search_run/l1d_10/470	3.645466	0.123459	0.000070	0.999997	0.999999	0.992843	97275.578054	96617.919670	97170.305465	101079.754601
search_run/l1d_11/470	3.645466	0.123459	0.000070	0.999997	0.999999	0.992843	97275.578054	96617.919670	97170.305465	101079.754601
search_run/l1d_12/470	2.471074	0.061731	0.000085	0.999988	0.999999	0.976780	101713.180463	96944.532488	102105.837628	100188.854489
search_run/l1d_13/470	2.471074	0.061731	0.000085	0.999988	0.999999	0.976780	101713.180463	96944.532488	102105.837628	100188.854489
search_run/l1d_14/470	2.471074	0.061731	0.000085	0.999988	0.999999	0.976780	101713.180463	96944.532488	102105.837628	100188.854489
search_run/l1d_15/470	1.865967	0.030867	0.000092	0.999955	0.999999	0.935698	104904.447297	104374.407583	106295.267841	104119.733925
search_run/l1d_16/470	1.865967	0.030867	0.000092	0.999955	0.999999	0.935698	104904.447297	104374.407583	106295.267841	104119.733925
search_run/l1d_17/470	1.865967	0.030867	0.000092	0.999955	0.999999	0.935698	104904.447297	104374.407583	106295.267841	104119.733925
search_run/l1d_18/470	3.645813	0.123459	0.000072	0.999985	0.999999	0.962264	97288.452086	96553.147575	97183.186231	98705.064548
search_run/l1d_19/470	3.645813	0.123459	0.000072	0.999985	0.999999	0.962264	97288.452086	96553.147575	97183.186231	98705.064548
search_run/l1d_20/470	3.645813	0.123459	0.000072	0.999985	0.999999	0.962264	97288.452086	96553.147575	97183.186231	98705.064548
search_run/l1d_21/470	2.471733	0.061731	0.000090	0.999963	0.999999	0.927835	101761.849011	97063.492063	102154.616446	96581.737850
search_run/l1d_22/470	2.471733	0.061731	0.000090	0.999963	0.999999	0.927835	101761.849011	97063.492063	102154.616446	96581.737850
search_run/l1d_23/470	2.471733	0.061731	0.000090	0.999963	0.999999	0.927835	101761.849011	97063.492063	102154.616446	96581.737850
