Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1i_0/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1i_1/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1i_2/470	3.644757	0.123459	0.000069	0.999999	0.999999	0.998971	97249.244585	96428.424305	97143.970849	101353.909465
search_run/l1i_3/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1i_4/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1i_5/470	2.469757	0.061731	0.000083	0.999999	0.999999	0.998418	101614.816239	97055.467512	102007.467516	101939.873418
search_run/l1i_6/470	1.865872	0.030867	0.000088	0.999990	0.999999	0.986014	104891.172431	103836.879433	106281.792916	107694.638695
search_run/l1i_7/470	1.865872	0.030867	0.000087	0.999997	0.999999	0.997642	104890.985419	104439.716312	106281.816108	109247.641509
search_run/l1i_8/470	1.865872	0.030867	0.000087	0.999997	0.999999	0.997642	104890.985419	104439.716312	106281.816108	109247.641509
search_run/l1i_9/470	3.645466	0.123459	0.000070	0.999997	0.999999	0.992843	97275.578054	96617.919670	97170.305465	101079.754601
search_run/l1i_10/470	3.645466	0.123459	0.000069	0.999999	0.999999	0.998971	97275.757977	96428.424305	97170.485396	101353.909465
search_run/l1i_11/470	3.645466	0.123459	0.000069	0.999999	0.999999	0.998971	97275.757977	96428.424305	97170.485396	101353.909465
search_run/l1i_12/470	2.471074	0.061731	0.000085	0.999988	0.999999	0.976780	101713.180463	96944.532488	102105.837628	100188.854489
search_run/l1i_13/470	2.471074	0.061731	0.000084	0.999996	0.999999	0.993701	101713.230586	97169.572108	102105.887753	101694.488189
search_run/l1i_14/470	2.471074	0.061731	0.000083	0.999999	0.999999	0.998418	101713.318112	97055.467512	102105.975285	101939.873418
search_run/l1i_15/470	1.865967	0.030867	0.000092	0.999955	0.999999	0.935698	104904.447297	104374.407583	106295.267841	104119.733925
search_run/l1i_16/470	1.865961	0.030867	0.000089	0.999982	0.999999	0.974596	104904.483203	103718.009479	106295.107746	106674.364896
search_run/l1i_17/470	1.865961	0.030867	0.000087	0.999997	0.999999	0.997642	104904.308160	104427.895981	106295.139915	109247.641509
search_run/l1i_18/470	3.645813	0.123459	0.000072	0.999985	0.999999	0.962264	97288.452086	96553.147575	97183.186231	98705.064548
search_run/l1i_19/470	3.645801	0.123459	0.000070	0.999997	0.999999	0.993852	97288.266178	96443.298969	97182.994704	100982.581967
search_run/l1i_20/470	3.645801	0.123459	0.000069	0.999999	0.999999	0.997945	97288.267300	96419.155510	97182.995265	101267.214800
search_run/l1i_21/470	2.471733	0.061731	0.000090	0.999963	0.999999	0.927835	101761.849011	97063.492063	102154.616446	96581.737850
search_run/l1i_22/470	2.471721	0.061731	0.000087	0.999981	0.999999	0.961890	101761.492920	96985.736926	102154.153724	99094.512195
search_run/l1i_23/470	2.471721	0.061731	0.000085	0.999992	0.999999	0.984399	101761.603638	97058.637084	102154.264448	100876.755070
