Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1i_0/458	5.575138	0.389883	0.000146	0.952630	0.979388	0.614538	99362.448195	100205.370102	55388.937025	74676.527427
search_run/l1i_1/458	5.574868	0.389883	0.000110	0.969977	0.979388	0.812118	99394.450117	100201.458080	55389.166802	90322.281429
search_run/l1i_2/458	5.574717	0.389883	0.000091	0.979294	0.979388	0.977413	99377.488137	100192.897105	55389.106450	103405.611032
search_run/l1i_3/458	3.183833	0.241831	0.000118	0.910772	0.951988	0.495197	102479.541917	102193.965517	54796.421000	66209.605123
search_run/l1i_4/458	3.183636	0.241831	0.000084	0.934558	0.951988	0.688117	102389.615299	102173.118747	54796.120750	81860.221491
search_run/l1i_5/458	3.183547	0.241831	0.000064	0.949516	0.951967	0.903937	102459.850119	102852.787456	54796.259741	99991.732283
search_run/l1i_6/458	3.248395	0.240742	0.000169	0.783169	0.907071	0.214998	108056.215422	113669.161677	56262.707036	46110.556807
search_run/l1i_7/458	3.248318	0.240742	0.000157	0.792885	0.907107	0.228903	108139.778706	113620.741862	56263.216208	47291.977127
search_run/l1i_8/458	3.247856	0.240742	0.000052	0.893193	0.907036	0.687206	107884.895148	112844.224924	56261.839650	89251.697128
search_run/l1i_9/458	5.614929	0.389988	0.004431	0.299851	0.946982	0.020483	99398.919179	100436.720997	55382.616102	27629.576898
search_run/l1i_10/458	5.582843	0.389975	0.001024	0.646845	0.946970	0.087237	99435.288042	100456.976179	55382.809756	32933.225895
search_run/l1i_11/458	5.579077	0.389971	0.000547	0.772492	0.947005	0.163192	99504.971659	101068.369830	55383.304334	39068.334326
search_run/l1i_12/458	3.216211	0.241934	0.004588	0.204600	0.897241	0.013098	102288.962409	103679.142136	54836.571844	27091.005233
search_run/l1i_13/458	3.193389	0.241941	0.001568	0.421650	0.897320	0.037460	102347.439000	103754.725086	54837.306788	29102.161005
search_run/l1i_14/458	3.188758	0.241939	0.000793	0.580312	0.897500	0.073751	102380.332963	102768.334771	54837.936617	32033.312122
search_run/l1i_15/458	3.276810	0.240891	0.004462	0.140126	0.796006	0.008702	108105.271235	114040.787623	56247.141665	27252.031575
search_run/l1i_16/458	3.261855	0.240894	0.002272	0.236538	0.796342	0.016493	108267.131955	112993.449782	56248.058396	27852.665442
search_run/l1i_17/458	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
search_run/l1i_18/458	5.734790	0.390319	0.017669	0.097178	0.862218	0.005302	99371.004430	100709.375731	55363.391125	26423.664415
search_run/l1i_19/458	5.703087	0.390298	0.014252	0.117266	0.862187	0.006532	99390.843679	101342.964529	55363.140099	26527.031236
search_run/l1i_20/458	5.670681	0.390282	0.010709	0.149372	0.862195	0.008589	99327.742260	100813.434607	55362.730633	26701.632386
search_run/l1i_21/458	3.304326	0.242393	0.017517	0.064725	0.729667	0.003786	102340.100631	103223.903764	54735.024915	26316.194987
search_run/l1i_22/458	3.288444	0.242397	0.015198	0.073574	0.729683	0.004341	102605.901481	103796.960249	54736.756340	26363.794153
search_run/l1i_23/458	3.273511	0.242396	0.013044	0.084279	0.729651	0.005023	102457.505713	103463.347707	54735.460557	26424.749612
