Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1d_0/401	1.729535	0.014495	0.000065	0.506952	0.506014	0.999285	101799.120815	98226.752504	69801.811895	103174.410293
search_run/l1d_1/401	1.724495	0.014108	0.000065	0.523080	0.522143	0.999285	101766.004843	97859.799714	70973.640444	102807.719800
search_run/l1d_2/401	1.723002	0.013977	0.000065	0.528740	0.527804	0.999285	101769.118669	97977.825465	71399.803788	102924.946390
search_run/l1d_3/401	1.613393	0.010932	0.000057	0.363208	0.362289	0.998810	102124.651635	98401.668653	58724.662265	103311.904762
search_run/l1d_4/401	1.608250	0.010504	0.000057	0.379546	0.378611	0.998810	102109.443619	98946.364720	60043.174765	103857.142857
search_run/l1d_5/401	1.606510	0.010340	0.000057	0.386176	0.385235	0.998810	102124.981008	98611.442193	60600.334907	103522.619048
search_run/l1d_6/401	1.561174	0.009738	0.000042	0.238455	0.237711	0.998113	110901.423468	105691.871456	50193.490235	110558.490566
search_run/l1d_7/401	1.555311	0.009228	0.000042	0.252359	0.251585	0.998113	110808.241887	106079.395085	51506.586580	110947.169811
search_run/l1d_8/401	1.553159	0.009017	0.000042	0.258610	0.257824	0.998113	110919.320066	105493.383743	52132.021514	110360.377358
search_run/l1d_9/401	1.789906	0.016442	0.000067	0.502856	0.502060	0.975017	103096.949153	97795.729537	69944.838588	100879.250520
search_run/l1d_10/401	1.783855	0.015920	0.000067	0.521425	0.520632	0.975017	103184.004883	97466.903915	71431.056527	100558.639833
search_run/l1d_11/401	1.780007	0.015632	0.000067	0.532273	0.531483	0.975017	103083.994259	97111.032028	72225.229762	100211.658570
search_run/l1d_12/401	1.669978	0.013395	0.000060	0.356333	0.355602	0.952703	103959.915743	98956.264775	58181.202330	100272.522523
search_run/l1d_13/401	1.663105	0.012814	0.000060	0.373824	0.373081	0.952703	103922.378645	98771.867612	59628.066486	100096.846847
search_run/l1d_14/401	1.659247	0.012493	0.000060	0.384241	0.383490	0.952703	103924.832215	99036.643026	60498.206656	100349.099099
search_run/l1d_15/401	1.620189	0.012779	0.000047	0.241081	0.240524	0.927835	112767.430279	106620.370370	50240.000695	105560.137457
search_run/l1d_16/401	1.613199	0.012184	0.000047	0.253350	0.252775	0.927835	112726.404605	107342.592593	51415.206072	106230.240550
search_run/l1d_17/401	1.609171	0.011845	0.000047	0.260903	0.260317	0.927835	112782.960955	106975.925926	52152.356252	105893.470790
search_run/l1d_18/401	1.864770	0.018955	0.000069	0.498434	0.497764	0.955842	104297.673026	99469.793888	69864.054141	101006.793478
search_run/l1d_19/401	1.856809	0.018287	0.000069	0.518490	0.517825	0.955842	104359.133727	98880.597015	71512.314328	100443.614130
search_run/l1d_20/401	1.849810	0.017758	0.000069	0.535617	0.534957	0.955842	104291.759016	100066.808813	72845.066522	101577.445652
search_run/l1d_21/401	1.745985	0.016513	0.000062	0.361335	0.360766	0.918015	105529.381034	99253.819036	58587.154398	97840.345200
search_run/l1d_22/401	1.738605	0.015882	0.000062	0.376607	0.376030	0.918015	105551.433137	99515.863690	59894.432784	98080.906149
search_run/l1d_23/401	1.731432	0.015336	0.000062	0.390909	0.390326	0.918015	105548.099165	99814.336075	61110.485955	98354.908306
