Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l2_0/401	1.723019	0.013977	0.000065	0.528734	0.527798	0.999285	101774.307033	97917.024320	71397.409630	102864.188706
search_run/l2_1/401	1.724259	0.013977	0.000065	0.529454	0.528520	0.999285	101869.585218	98135.193133	71489.269678	103082.201573
search_run/l2_2/401	1.724880	0.013976	0.000065	0.529962	0.529029	0.999285	101907.789677	98726.752504	71562.511837	103673.338099
search_run/l2_3/401	1.606510	0.010340	0.000057	0.386167	0.385226	0.998810	102156.188423	98611.442193	60605.976686	103522.619048
search_run/l2_4/401	1.606518	0.010340	0.000057	0.384439	0.383495	0.998810	102213.817280	97603.098927	60507.832072	102515.476190
search_run/l2_5/401	1.606363	0.010339	0.000057	0.383641	0.382695	0.998810	102235.116715	98858.164482	60445.214450	103769.047619
search_run/l2_6/401	1.553148	0.009017	0.000042	0.258597	0.257811	0.998113	110909.594713	106238.185255	52120.405373	111088.679245
search_run/l2_7/401	1.552816	0.009016	0.000042	0.256197	0.255408	0.998113	110942.991829	105013.232514	51916.142010	109866.037736
search_run/l2_8/401	1.552392	0.009015	0.000042	0.254489	0.253698	0.998113	111057.495175	105901.701323	51795.739538	110752.830189
search_run/l2_9/401	1.779953	0.015630	0.000065	0.532292	0.531483	0.999285	103031.314437	97795.422031	72197.234847	102742.673338
search_run/l2_10/401	1.778769	0.015630	0.000065	0.529136	0.528321	0.999285	103003.389258	98641.630901	71948.522688	103588.992137
search_run/l2_11/401	1.777558	0.015640	0.000065	0.527073	0.526255	0.999285	102802.917355	98339.055794	71672.164226	103285.918513
search_run/l2_12/401	1.659302	0.012493	0.000057	0.384258	0.383490	0.998810	103962.571430	98199.046484	60507.256777	103110.714286
search_run/l2_13/401	1.658174	0.012493	0.000057	0.380107	0.379334	0.998810	103802.677094	99462.455304	60138.681462	104372.619048
search_run/l2_14/401	1.657204	0.012493	0.000057	0.377717	0.376941	0.998810	103616.043731	98656.734207	59885.142219	103567.857143
search_run/l2_15/401	1.609015	0.011846	0.000042	0.260900	0.260311	0.998113	112437.713558	105765.595463	52067.795242	110649.056604
search_run/l2_16/401	1.607713	0.011845	0.000042	0.255791	0.255198	0.998113	112434.565830	107071.833648	51618.934758	111960.377358
search_run/l2_17/401	1.606769	0.011845	0.000042	0.252381	0.251785	0.998113	112269.448852	105663.516068	51281.281312	110549.056604
search_run/l2_18/401	1.849836	0.017759	0.000065	0.535637	0.534945	0.997859	104328.548380	99439.198856	72868.090573	104273.376160
search_run/l2_19/401	1.848522	0.017768	0.000065	0.533125	0.532429	0.997859	104024.909219	99512.875536	72508.679514	104347.608851
search_run/l2_20/401	1.848278	0.017769	0.000065	0.532687	0.531991	0.997859	103907.665309	98744.635193	72419.396691	103580.299786
search_run/l2_21/401	1.731355	0.015336	0.000057	0.390934	0.390327	0.994076	105509.989244	99033.373063	61094.172915	103573.459716
search_run/l2_22/401	1.730233	0.015336	0.000057	0.387672	0.387062	0.994076	105243.187526	99456.495828	60730.096605	103995.260664
search_run/l2_23/401	1.729959	0.015336	0.000057	0.386491	0.385879	0.994076	105147.162918	98654.350417	60607.769539	103196.682464
