Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1i_0/401	1.723002	0.013977	0.000065	0.528740	0.527804	0.999285	101769.118669	97977.825465	71399.803788	102924.946390
search_run/l1i_1/401	1.722924	0.013977	0.000065	0.528734	0.527798	0.999285	101749.613447	98028.612303	71380.920383	102975.696926
search_run/l1i_2/401	1.723019	0.013977	0.000065	0.528734	0.527798	0.999285	101774.307033	97917.024320	71397.409630	102864.188706
search_run/l1i_3/401	1.606510	0.010340	0.000057	0.386176	0.385235	0.998810	102124.981008	98611.442193	60600.334907	103522.619048
search_run/l1i_4/401	1.606510	0.010341	0.000057	0.386167	0.385226	0.998810	102130.999805	98623.361144	60600.068367	103534.523810
search_run/l1i_5/401	1.606510	0.010340	0.000057	0.386167	0.385226	0.998810	102156.188423	98611.442193	60605.976686	103522.619048
search_run/l1i_6/401	1.553159	0.009017	0.000042	0.258610	0.257824	0.998113	110919.320066	105493.383743	52132.021514	110360.377358
search_run/l1i_7/401	1.553196	0.009017	0.000042	0.258598	0.257811	0.998113	110980.829253	106595.463138	52141.954032	111452.830189
search_run/l1i_8/401	1.553148	0.009017	0.000042	0.258597	0.257811	0.998113	110909.594713	106238.185255	52120.405373	111088.679245
search_run/l1i_9/401	1.780007	0.015632	0.000067	0.532273	0.531483	0.975017	103083.994259	97111.032028	72225.229762	100211.658570
search_run/l1i_10/401	1.780002	0.015631	0.000065	0.532301	0.531492	0.999285	103054.901632	97569.384835	72210.274467	102516.797713
search_run/l1i_11/401	1.779953	0.015630	0.000065	0.532292	0.531483	0.999285	103031.314437	97795.422031	72197.234847	102742.673338
search_run/l1i_12/401	1.659247	0.012493	0.000060	0.384241	0.383490	0.952703	103924.832215	99036.643026	60498.206656	100349.099099
search_run/l1i_13/401	1.659302	0.012492	0.000057	0.384268	0.383500	0.998810	103972.053364	99032.181168	60508.441400	103942.857143
search_run/l1i_14/401	1.659302	0.012493	0.000057	0.384258	0.383490	0.998810	103962.571430	98199.046484	60507.256777	103110.714286
search_run/l1i_15/401	1.609171	0.011845	0.000047	0.260903	0.260317	0.927835	112782.960955	106975.925926	52152.356252	105893.470790
search_run/l1i_16/401	1.609093	0.011845	0.000043	0.260903	0.260316	0.994350	112654.543559	105005.681818	52121.706951	109598.870056
search_run/l1i_17/401	1.609015	0.011846	0.000042	0.260900	0.260311	0.998113	112437.713558	105765.595463	52067.795242	110649.056604
search_run/l1i_18/401	1.849810	0.017758	0.000069	0.535617	0.534957	0.955842	104291.759016	100066.808813	72845.066522	101577.445652
search_run/l1i_19/401	1.849622	0.017758	0.000066	0.535631	0.534946	0.990078	104263.020537	99607.730852	72836.183336	103830.616584
search_run/l1i_20/401	1.849836	0.017759	0.000065	0.535637	0.534945	0.997859	104328.548380	99439.198856	72868.090573	104273.376160
search_run/l1i_21/401	1.731432	0.015336	0.000062	0.390909	0.390326	0.918015	105548.099165	99814.336075	61110.485955	98354.908306
search_run/l1i_22/401	1.731432	0.015336	0.000058	0.390922	0.390321	0.973410	105538.319562	100384.798100	61102.647926	103278.612717
search_run/l1i_23/401	1.731355	0.015336	0.000057	0.390934	0.390327	0.994076	105509.989244	99033.373063	61094.172915	103573.459716
