Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1d_0/429	1.280175	0.004625	0.000031	0.942717	0.942357	0.997170	98798.973000	97198.675497	98938.308565	101985.849057
search_run/l1d_1/429	1.280129	0.004620	0.000031	0.943702	0.943348	0.997170	98846.882310	97198.675497	99055.643831	101985.849057
search_run/l1d_2/429	1.280124	0.004619	0.000031	0.943854	0.943501	0.997170	98849.087114	97198.675497	99069.023224	101985.849057
search_run/l1d_3/429	1.226472	0.003065	0.000023	0.908798	0.908207	0.988338	118126.430752	98123.893805	106225.857635	102230.320700
search_run/l1d_4/429	1.226473	0.003057	0.000023	0.911453	0.910880	0.988338	118237.354039	98123.893805	106507.118886	102230.320700
search_run/l1d_5/429	1.226473	0.003055	0.000023	0.911779	0.911208	0.988338	118267.830091	98123.893805	106554.306362	102230.320700
search_run/l1d_6/429	1.196547	0.001921	0.000016	0.829843	0.828570	0.979955	109022.114815	104409.090909	93069.521051	107770.601336
search_run/l1d_7/429	1.196313	0.001903	0.000016	0.839999	0.838798	0.979955	108718.427350	104409.090909	93511.243629	107770.601336
search_run/l1d_8/429	1.196315	0.001898	0.000016	0.842847	0.841666	0.979955	108805.361173	104409.090909	93744.138439	107770.601336
search_run/l1d_9/429	1.331430	0.004766	0.007159	0.377069	0.930684	0.004309	100938.154993	96996.215705	100067.705811	26327.467286
search_run/l1d_10/429	1.331363	0.004767	0.007162	0.376986	0.930578	0.004307	100907.244190	96996.215705	100032.008308	26327.343187
search_run/l1d_11/429	1.331243	0.004690	0.007152	0.380056	0.946844	0.004314	100990.748326	96996.215705	101354.855543	26327.828110
search_run/l1d_12/429	1.277821	0.003201	0.011871	0.194237	0.893152	0.001916	100293.103448	98468.242245	91641.864811	26148.614146
search_run/l1d_13/429	1.277614	0.003213	0.011871	0.194061	0.889341	0.001916	100152.011425	98468.242245	91298.970776	26148.502913
search_run/l1d_14/429	1.277614	0.003189	0.011871	0.194427	0.897241	0.001916	100171.561514	98468.242245	91804.484651	26148.525557
search_run/l1d_15/429	1.259291	0.002064	0.010842	0.131170	0.813706	0.001441	110572.045560	104627.272727	94525.513038	26202.112611
search_run/l1d_16/429	1.258970	0.002045	0.010841	0.131397	0.823049	0.001441	110568.252557	105215.909091	95138.572991	26203.428901
search_run/l1d_17/429	1.258892	0.002039	0.010841	0.131469	0.826025	0.001441	110516.769713	104627.272727	95301.156925	26202.849341
search_run/l1d_18/429	1.337600	0.005193	0.007220	0.368701	0.868136	0.004281	102667.730162	97036.827195	96754.630175	26325.487771
search_run/l1d_19/429	1.337269	0.005166	0.007220	0.369538	0.872822	0.004281	102568.908089	97262.511804	97033.024658	26326.453814
search_run/l1d_20/429	1.337180	0.005159	0.007220	0.369761	0.874078	0.004281	102553.944715	97036.827195	97123.251187	26325.487771
search_run/l1d_21/429	1.281407	0.003441	0.011895	0.196438	0.847175	0.001935	101195.711353	98715.328467	89733.137306	26150.483229
search_run/l1d_22/429	1.281132	0.003407	0.011895	0.196967	0.857181	0.001935	101200.452963	98493.430657	90393.042051	26150.045342
search_run/l1d_23/429	1.280972	0.003391	0.011895	0.197206	0.861772	0.001935	101164.059711	98493.430657	90661.781434	26150.011442
