Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l2_0/429	1.280124	0.004619	0.000031	0.943866	0.943501	0.999055	98849.087114	97246.925260	99069.023224	102177.693762
search_run/l2_1/429	1.280221	0.004619	0.000031	0.943847	0.943482	0.999055	98943.727964	97325.449385	99141.045167	102256.143667
search_run/l2_2/429	1.279826	0.004619	0.000031	0.941344	0.940962	0.999055	98919.050562	97246.925260	98916.755963	102177.693762
search_run/l2_3/429	1.226473	0.003055	0.000023	0.911848	0.911208	0.998527	118267.054740	97873.156342	106557.745963	102765.832106
search_run/l2_4/429	1.226473	0.003055	0.000023	0.912010	0.911371	0.998527	118250.119263	97873.156342	106559.017518	102765.832106
search_run/l2_5/429	1.226473	0.003055	0.000023	0.911740	0.911100	0.998527	118215.406273	97873.156342	106508.695056	102765.832106
search_run/l2_6/429	1.196315	0.001898	0.000016	0.842975	0.841666	0.997732	108806.250142	104625	93748.468336	109442.176871
search_run/l2_7/429	1.196312	0.001898	0.000016	0.842271	0.840956	0.997732	108872.427796	104625	93749.970545	109442.176871
search_run/l2_8/429	1.196310	0.001898	0.000016	0.842271	0.840956	0.997732	108873.477209	104625	93750.692194	109442.176871
search_run/l2_9/429	1.284965	0.004689	0.000031	0.947169	0.946831	0.999055	100616.365859	97340.586566	101085.147517	102271.266541
search_run/l2_10/429	1.284719	0.004689	0.000031	0.943230	0.942867	0.999055	100868.206628	97566.698202	100960.208977	102497.164461
search_run/l2_11/429	1.283938	0.004689	0.000031	0.943022	0.942658	0.999055	100164.970940	97480.605487	100296.957190	102411.153119
search_run/l2_12/429	1.227776	0.003189	0.000023	0.897907	0.897210	0.997059	116248.851111	97845.132743	104439.934083	102625
search_run/l2_13/429	1.227698	0.003189	0.000023	0.893669	0.892942	0.997059	116634.984377	97982.300885	104402.116077	102764.705882
search_run/l2_14/429	1.227620	0.003189	0.000023	0.892314	0.891578	0.997059	116582.489163	97889.380531	104242.389180	102669.117647
search_run/l2_15/429	1.201166	0.002039	0.000016	0.827279	0.826008	0.990991	111327.863299	104627.272727	95600.690875	108907.657658
search_run/l2_16/429	1.201050	0.002039	0.000016	0.824450	0.823157	0.990991	111361.443991	104627.272727	95432.440954	108907.657658
search_run/l2_17/429	1.200654	0.002039	0.000016	0.822871	0.821565	0.990991	110639.260852	104627.272727	94663.692067	108907.657658
search_run/l2_18/429	1.292243	0.005157	0.000031	0.874748	0.874044	0.993421	102001.359199	97274.361400	96706.666020	101775.375940
search_run/l2_19/429	1.291493	0.005157	0.000031	0.874477	0.873771	0.993421	101380.866968	97253.547777	96117.050527	101754.699248
search_run/l2_20/429	1.290570	0.005157	0.000031	0.874410	0.873704	0.993421	100493.485436	97499.526963	95346.247574	101999.060150
search_run/l2_21/429	1.229853	0.003391	0.000023	0.862392	0.861608	0.979827	114763.912291	98282.352941	101106.106939	101733.429395
search_run/l2_22/429	1.229747	0.003391	0.000023	0.862019	0.861233	0.979827	114474.680718	98211.764706	101012.174615	101661.383285
search_run/l2_23/429	1.229591	0.003391	0.000023	0.862038	0.861252	0.979827	114359.909799	98211.764706	100793.056265	101664.265130
