Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.l2.overallMissRate::cpu.data	system.l2.overallMissRate::cpu.inst	system.l2.overallAvgMissLatency::cpu.data	system.l2.overallAvgMissLatency::cpu.inst	system.cpu.dcache.overallAvgMissLatency::total	system.cpu.icache.overallAvgMissLatency::total
search_run/l1i_0/429	1.280124	0.004619	0.000031	0.943854	0.943501	0.997170	98849.087114	97198.675497	99069.023224	101985.849057
search_run/l1i_1/429	1.280124	0.004619	0.000031	0.943866	0.943501	0.999055	98849.087114	97246.925260	99069.023224	102177.693762
search_run/l1i_2/429	1.280124	0.004619	0.000031	0.943866	0.943501	0.999055	98849.087114	97246.925260	99069.023224	102177.693762
search_run/l1i_3/429	1.226473	0.003055	0.000023	0.911779	0.911208	0.988338	118267.830091	98123.893805	106554.306362	102230.320700
search_run/l1i_4/429	1.226473	0.003055	0.000023	0.911848	0.911208	0.998527	118267.054740	97873.156342	106557.745963	102765.832106
search_run/l1i_5/429	1.226473	0.003055	0.000023	0.911848	0.911208	0.998527	118267.054740	97873.156342	106557.745963	102765.832106
search_run/l1i_6/429	1.196315	0.001898	0.000016	0.842847	0.841666	0.979955	108805.361173	104409.090909	93744.138439	107770.601336
search_run/l1i_7/429	1.196315	0.001898	0.000016	0.842975	0.841666	0.997732	108806.250142	104625	93748.468336	109442.176871
search_run/l1i_8/429	1.196315	0.001898	0.000016	0.842975	0.841666	0.997732	108806.250142	104625	93748.468336	109442.176871
search_run/l1i_9/429	1.331243	0.004690	0.007152	0.380056	0.946844	0.004314	100990.748326	96996.215705	101354.855543	26327.828110
search_run/l1i_10/429	1.284965	0.004689	0.000031	0.947169	0.946831	0.999055	100563.527255	97433.301798	101036.729998	102363.894140
search_run/l1i_11/429	1.284965	0.004689	0.000031	0.947169	0.946831	0.999055	100616.365859	97340.586566	101085.147517	102271.266541
search_run/l1i_12/429	1.277614	0.003189	0.011871	0.194427	0.897241	0.001916	100171.561514	98468.242245	91804.484651	26148.525557
search_run/l1i_13/429	1.227776	0.003189	0.000023	0.897907	0.897210	0.997059	116286.064752	97982.300885	104454.185258	102764.705882
search_run/l1i_14/429	1.227776	0.003189	0.000023	0.897907	0.897210	0.997059	116248.851111	97845.132743	104439.934083	102625
search_run/l1i_15/429	1.258892	0.002039	0.010841	0.131469	0.826025	0.001441	110516.769713	104627.272727	95301.156925	26202.849341
search_run/l1i_16/429	1.201166	0.002039	0.000016	0.827207	0.826008	0.979955	111312.130773	105125	95584.493914	108501.113586
search_run/l1i_17/429	1.201166	0.002039	0.000016	0.827279	0.826008	0.990991	111327.863299	104627.272727	95600.690875	108907.657658
search_run/l1i_18/429	1.337180	0.005159	0.007220	0.369761	0.874078	0.004281	102553.944715	97036.827195	97123.251187	26325.487771
search_run/l1i_19/429	1.292165	0.005157	0.000031	0.874685	0.874044	0.981430	101946.589241	96970.671712	96629.816531	100562.674095
search_run/l1i_20/429	1.292243	0.005157	0.000031	0.874748	0.874044	0.993421	102001.359199	97274.361400	96706.666020	101775.375940
search_run/l1i_21/429	1.280972	0.003391	0.011895	0.197206	0.861772	0.001935	101164.059711	98493.430657	90661.781434	26150.011442
search_run/l1i_22/429	1.229930	0.003391	0.000036	0.859311	0.861608	0.636872	114647.134966	98374.269006	101120.373881	75283.054004
search_run/l1i_23/429	1.229853	0.003391	0.000023	0.862392	0.861608	0.979827	114763.912291	98282.352941	101106.106939	101733.429395
